Table 1: The Index of Consumer Sentiment
Month,Year,Index,
7,1987,93.7,
8,1987,94.4,
9,1987,93.6,
10,1987,89.3,
11,1987,83.1,
12,1987,86.8,
1,1988,90.8,
2,1988,91.6,
3,1988,94.6,
4,1988,91.2,
5,1988,94.8,
6,1988,94.7,
7,1988,93.4,
8,1988,97.4,
9,1988,97.3,
10,1988,94.1,
11,1988,93,
12,1988,91.9,
1,1989,97.9,
2,1989,95.4,
3,1989,94.3,
4,1989,91.5,
5,1989,90.7,
6,1989,90.6,
7,1989,92,
8,1989,89.6,
9,1989,95.8,
10,1989,93.9,
11,1989,90.9,
12,1989,90.5,
1,1990,93,
2,1990,89.5,
3,1990,91.3,
4,1990,93.9,
5,1990,90.6,
6,1990,88.3,
7,1990,88.2,
8,1990,76.4,
9,1990,72.8,
10,1990,63.9,
11,1990,66,
12,1990,65.5,
1,1991,66.8,
2,1991,70.4,
3,1991,87.7,
4,1991,81.8,
5,1991,78.3,
6,1991,82.1,
7,1991,82.9,
8,1991,82,
9,1991,83,
10,1991,78.3,
11,1991,69.1,
12,1991,68.2,
1,1992,67.5,
2,1992,68.8,
3,1992,76,
4,1992,77.2,
5,1992,79.2,
6,1992,80.4,
7,1992,76.6,
8,1992,76.1,
9,1992,75.6,
10,1992,73.3,
11,1992,85.3,
12,1992,91,
1,1993,89.3,
2,1993,86.6,
3,1993,85.9,
4,1993,85.6,
5,1993,80.3,
6,1993,81.5,
7,1993,77,
8,1993,77.3,
9,1993,77.9,
10,1993,82.7,
11,1993,81.2,
12,1993,88.2,
1,1994,94.3,
2,1994,93.2,
3,1994,91.5,
4,1994,92.6,
5,1994,92.8,
6,1994,91.2,
7,1994,89,
8,1994,91.7,
9,1994,91.5,
10,1994,92.7,
11,1994,91.6,
12,1994,95.1,
1,1995,97.6,
2,1995,95.1,
3,1995,90.3,
4,1995,92.5,
5,1995,89.8,
6,1995,92.7,
7,1995,94.4,
8,1995,96.2,
9,1995,88.9,
10,1995,90.2,
11,1995,88.2,
12,1995,91,
1,1996,89.3,
2,1996,88.5,
3,1996,93.7,
4,1996,92.7,
5,1996,89.4,
6,1996,92.4,
7,1996,94.7,
8,1996,95.3,
9,1996,94.7,
10,1996,96.5,
11,1996,99.2,
12,1996,96.9,
1,1997,97.4,
2,1997,99.7,
3,1997,100,
4,1997,101.4,
5,1997,103.2,
6,1997,104.5,
7,1997,107.1,
8,1997,104.4,
9,1997,106,
10,1997,105.6,
11,1997,107.2,
12,1997,102.1,
1,1998,106.6,
2,1998,110.4,
3,1998,106.5,
4,1998,108.7,
5,1998,106.5,
6,1998,105.6,
7,1998,105.2,
8,1998,104.4,
9,1998,100.9,
10,1998,97.4,
11,1998,102.7,
12,1998,100.5,
1,1999,103.9,
2,1999,108.1,
3,1999,105.7,
4,1999,104.6,
5,1999,106.8,
6,1999,107.3,
7,1999,106,
8,1999,104.5,
9,1999,107.2,
10,1999,103.2,
11,1999,107.2,
12,1999,105.4,
1,2000,112,
2,2000,111.3,
3,2000,107.1,
4,2000,109.2,
5,2000,110.7,
6,2000,106.4,
7,2000,108.3,
8,2000,107.3,
9,2000,106.8,
10,2000,105.8,
11,2000,107.6,
12,2000,98.4,
1,2001,94.7,
2,2001,90.6,
3,2001,91.5,
4,2001,88.4,
5,2001,92,
6,2001,92.6,
7,2001,92.4,
8,2001,91.5,
9,2001,81.8,
10,2001,82.7,
11,2001,83.9,
12,2001,88.8,
1,2002,93,
2,2002,90.7,
3,2002,95.7,
4,2002,93,
5,2002,96.9,
6,2002,92.4,
7,2002,88.1,
8,2002,87.6,
9,2002,86.1,
10,2002,80.6,
11,2002,84.2,
12,2002,86.7,
1,2003,82.4,
2,2003,79.9,
3,2003,77.6,
4,2003,86,
5,2003,92.1,
6,2003,89.7,
7,2003,90.9,
8,2003,89.3,
9,2003,87.7,
10,2003,89.6,
11,2003,93.7,
12,2003,92.6,
1,2004,103.8,
2,2004,94.4,
3,2004,95.8,
4,2004,94.2,
5,2004,90.2,
6,2004,95.6,
7,2004,96.7,
8,2004,95.9,
9,2004,94.2,
10,2004,91.7,
11,2004,92.8,
12,2004,97.1,
1,2005,95.5,
2,2005,94.1,
3,2005,92.6,
4,2005,87.7,
5,2005,86.9,
6,2005,96,
7,2005,96.5,
8,2005,89.1,
9,2005,76.9,
10,2005,74.2,
11,2005,81.6,
12,2005,91.5,
1,2006,91.2,
2,2006,86.7,
3,2006,88.9,
4,2006,87.4,
5,2006,79.1,
6,2006,84.9,
7,2006,84.7,
8,2006,82,
9,2006,85.4,
10,2006,93.6,
11,2006,92.1,
12,2006,91.7,
1,2007,96.9,
2,2007,91.3,
3,2007,88.4,
4,2007,87.1,
5,2007,88.3,
6,2007,85.3,
7,2007,90.4,
8,2007,83.4,
9,2007,83.4,
10,2007,80.9,
11,2007,76.1,
12,2007,75.5,
1,2008,78.4,
2,2008,70.8,
3,2008,69.5,
4,2008,62.6,
5,2008,59.8,
6,2008,56.4,
7,2008,61.2,
8,2008,63,
9,2008,70.3,
10,2008,57.6,
11,2008,55.3,
12,2008,60.1,
1,2009,61.2,
2,2009,56.3,
3,2009,57.3,
4,2009,65.1,
5,2009,68.7,
6,2009,70.8,
7,2009,66,
8,2009,65.7,
9,2009,73.5,
10,2009,70.6,
11,2009,67.4,
12,2009,72.5,
1,2010,74.4,
2,2010,73.6,
3,2010,73.6,
4,2010,72.2,
5,2010,73.6,
6,2010,76,
7,2010,67.8,
8,2010,68.9,
9,2010,68.2,
10,2010,67.7,
11,2010,71.6,
12,2010,74.5,
1,2011,74.2,
2,2011,77.5,
3,2011,67.5,
4,2011,69.8,
5,2011,74.3,
6,2011,71.5,
7,2011,63.7,
8,2011,55.8,
9,2011,59.5,
10,2011,60.8,
11,2011,63.7,
12,2011,69.9,
1,2012,75,
2,2012,75.3,
3,2012,76.2,
4,2012,76.4,
5,2012,79.3,
6,2012,73.2,
7,2012,72.3,
8,2012,74.3,
9,2012,78.3,
10,2012,82.6,
11,2012,82.7,
12,2012,72.9,
